Batch,Round,CS#,LikertItem,11&21,12&22,13&23,14&24,15&25
1,1,8,3,Agree,Strongly agree,,Agree,Agree
1,1,8,4,Strongly agree,Strongly agree,,Agree,Agree
1,1,8,5,Agree,Strongly agree,,Agree,Agree
1,1,9,1,Neutral,Neutral,Neutral,,Neutral
1,1,9,2,Strongly agree,Strongly agree,Strongly agree,,Agree
1,1,9,3,Agree,Strongly agree,Strongly agree,,Agree
1,1,9,4,Neutral,Strongly agree,Agree,,Disagree
1,1,9,5,Neutral,Agree,Agree,,Disagree
1,1,10,1,Strongly agree,Neutral,Disagree,Disagree,
1,1,10,2,Strongly agree,Strongly agree,Strongly agree,Agree,
1,1,10,3,Strongly agree,Strongly agree,Strongly agree,Disagree,
1,1,10,4,Strongly agree,Strongly agree,Strongly agree,Disagree,
1,1,10,5,Neutral,Agree,Strongly agree,Agree,
1,1,11,1,,Disagree,Disagree,Strongly disagree,Strongly disagree
1,1,11,2,,Neutral,Disagree,Disagree,Strongly disagree
1,1,11,3,,Agree,Neutral,Strongly disagree,Agree
1,1,11,4,,Neutral,Neutral,Disagree,Agree
1,1,11,5,,Neutral,Disagree,Strongly disagree,Neutral
1,1,12,1,Strongly agree,,Neutral,Neutral,Strongly disagree
1,1,12,2,Strongly agree,,Agree,Disagree,Disagree
1,1,12,3,Strongly agree,,Strongly agree,Disagree,Agree
1,1,12,4,Strongly agree,,Strongly agree,Strongly agree,Strongly disagree
1,1,12,5,Strongly agree,,Strongly agree,Disagree,Disagree
1,1,13,1,Agree,Neutral,,Neutral,Disagree
1,1,13,2,Strongly agree,Strongly agree,,Strongly agree,Neutral
1,1,13,3,Agree,Strongly agree,,Strongly agree,Agree
1,1,13,4,Agree,Strongly agree,,Neutral,Disagree
1,1,13,5,Neutral,Agree,,Agree,Strongly disagree
1,1,14,1,Agree,Agree,Disagree,,Strongly agree
1,1,14,2,Agree,Strongly agree,Disagree,,Strongly agree
1,1,14,3,Neutral,Neutral,Disagree,,Agree
1,1,14,4,Agree,Neutral,Disagree,,Strongly disagree
1,1,14,5,Neutral,Neutral,Strongly disagree,,Strongly disagree
1,1,15,1,Strongly agree,Disagree,Strongly disagree,Strongly disagree,
1,1,15,2,Agree,Disagree,Agree,Disagree,
1,1,15,3,Agree,Disagree,Neutral,Disagree,
1,1,15,4,Agree,Disagree,Agree,Neutral,
1,1,15,5,Neutral,Disagree,Disagree,Disagree,
1,2,16,1,,Agree,Strongly agree,Agree,Agree
1,2,16,2,,Strongly agree,Strongly agree,Agree,Agree
1,2,16,3,,Strongly agree,Strongly agree,Agree,Strongly agree
1,2,16,4,,Strongly agree,Strongly agree,Strongly agree,Strongly agree
1,2,16,5,,Agree,Strongly agree,Neutral,Agree
1,2,17,1,Agree,,Disagree,Disagree,Neutral
1,2,17,2,Agree,,Disagree,Agree,Agree
1,2,17,3,Strongly agree,,Agree,Agree,Strongly agree
1,2,17,4,Agree,,Agree,Agree,Strongly agree
1,2,17,5,Neutral,,Disagree,Agree,Strongly agree
1,2,18,1,Strongly agree,Neutral,,Disagree,Neutral
1,2,18,2,Agree,Strongly agree,,Agree,Agree
1,2,18,3,Agree,Agree,,Agree,Agree
1,2,18,4,Neutral,Strongly agree,,Disagree,Neutral
1,2,18,5,Neutral,Agree,,Agree,Neutral
1,2,19,1,Strongly agree,Agree,Agree,,Strongly agree
1,2,19,2,Strongly agree,Strongly agree,Strongly agree,,Strongly agree
1,2,19,3,Agree,Neutral,Agree,,Strongly agree
1,2,19,4,Agree,Neutral,Agree,,Agree
1,2,19,5,Disagree,Neutral,Agree,,Agree
1,2,20,1,Strongly agree,Neutral,Strongly agree,Disagree,
1,2,20,2,Strongly agree,Strongly agree,Strongly agree,Strongly agree,
1,2,20,3,Strongly agree,Strongly agree,Strongly agree,Agree,
1,2,20,4,Agree,Strongly agree,Strongly agree,Disagree,
1,2,20,5,Neutral,Agree,Agree,Agree,
1,2,21,1,,Neutral,Agree,Agree,Strongly agree
1,2,21,2,,Strongly agree,Strongly agree,Agree,Strongly agree
1,2,21,3,,Neutral,Strongly agree,Agree,Strongly agree
1,2,21,4,,Neutral,Strongly agree,Neutral,Agree
1,2,21,5,,Neutral,Strongly agree,Agree,Agree
1,2,22,1,Strongly agree,,Disagree,Disagree,Neutral
1,2,22,2,Agree,,Disagree,Strongly disagree,Disagree
1,2,22,3,Strongly agree,,Agree,Agree,Disagree
1,2,22,4,Strongly agree,,Agree,Neutral,Disagree
1,2,22,5,Agree,,Disagree,Strongly disagree,Disagree
1,2,23,1,Strongly agree,Neutral,,Agree,Neutral
1,2,23,2,Agree,Strongly agree,,Agree,Neutral
1,2,23,3,Strongly agree,Agree,,Agree,Agree
1,2,23,4,Agree,Agree,,Neutral,Agree
1,2,23,5,Neutral,Agree,,Disagree,Neutral
1,2,24,1,Neutral,Strongly agree,Agree,,Strongly agree
1,2,24,2,Agree,Strongly agree,Strongly agree,,Strongly agree
1,2,24,3,Agree,Strongly agree,Strongly agree,,Strongly agree
1,2,24,4,Agree,Strongly agree,Strongly agree,,Strongly agree
1,2,24,5,Neutral,Agree,Neutral,,Strongly agree
1,2,25,1,Agree,Neutral,Agree,Agree,
1,2,25,2,Strongly agree,Strongly agree,Strongly agree,Agree,
1,2,25,3,Strongly agree,Strongly agree,Strongly agree,Agree,
1,2,25,4,Agree,Agree,Strongly agree,Agree,
1,2,25,5,Neutral,Agree,Agree,Neutral,
1,2,26,1,,Strongly agree,Strongly agree,Agree,Neutral
1,2,26,2,,Strongly agree,Strongly agree,Agree,Agree
1,2,26,3,,Strongly agree,Strongly agree,Agree,Agree
1,2,26,4,,Strongly agree,Strongly agree,Strongly agree,Agree
1,2,26,5,,Strongly agree,Strongly agree,Agree,Agree
1,2,27,1,Strongly agree,,Neutral,Disagree,Strongly disagree
1,2,27,2,Strongly agree,,Neutral,Strongly disagree,Disagree
1,2,27,3,Strongly agree,,Strongly agree,Neutral,Agree
1,2,27,4,Strongly agree,,Strongly agree,Agree,Agree
1,2,27,5,Strongly agree,,Agree,Disagree,Disagree
1,2,28,1,Agree,Strongly agree,,Neutral,Strongly agree
1,2,28,2,Agree,Strongly agree,,Agree,Strongly agree
1,2,28,3,Neutral,Strongly agree,,Agree,Strongly agree
1,2,28,4,Neutral,Agree,,Neutral,Agree
1,2,28,5,Agree,Agree,,Agree,Strongly agree
1,2,29,1,Agree,Agree,Disagree,,Strongly disagree
1,2,29,2,Agree,Strongly agree,Agree,,Disagree
1,2,29,3,Strongly agree,Strongly agree,Strongly agree,,Agree
1,2,29,4,Agree,Strongly agree,Strongly agree,,Agree
1,2,29,5,Agree,Agree,Agree,,Agree
1,2,30,1,Agree,Agree,Strongly agree,Agree,
1,2,30,2,Agree,Strongly agree,Strongly agree,Agree,
1,2,30,3,Agree,Strongly agree,Strongly agree,Strongly agree,
1,2,30,4,Strongly agree,Agree,Strongly agree,Agree,
1,2,30,5,Neutral,Agree,Strongly agree,Strongly agree,
2,1,1,2,,Agree,Neutral,Strongly agree,Strongly agree
2,1,1,3,,Strongly agree,Strongly agree,Agree,Strongly agree
2,1,1,4,,Neutral,Agree,Disagree,Neutral
2,1,1,5,,Disagree,Agree,Agree,Neutral
2,1,2,1,Disagree,,Agree,Disagree,Agree
2,1,2,2,Disagree,,Agree,Strongly agree,Disagree
2,1,2,3,Agree,,Strongly agree,Strongly agree,Strongly agree
2,1,2,4,Neutral,,Agree,Neutral,Disagree
2,1,2,5,Disagree,,Strongly agree,Disagree,Disagree
2,1,3,1,Neutral,Strongly agree,,Agree,Neutral
2,1,3,2,Agree,Agree,,Strongly agree,Strongly agree
2,1,3,3,Strongly agree,Strongly agree,,Strongly agree,Agree
2,1,3,4,Agree,Strongly agree,,Strongly agree,Strongly agree
2,1,3,5,Neutral,Strongly agree,,Agree,Agree
2,1,4,1,Agree,Neutral,Strongly agree,,Neutral
2,1,4,2,Agree,Agree,Strongly agree,,Neutral
2,1,4,3,Disagree,Agree,Strongly agree,,Agree
2,1,4,4,Disagree,Agree,Strongly agree,,Disagree
2,1,4,5,Disagree,Agree,Strongly agree,,Strongly disagree
2,1,5,1,Disagree,Agree,Disagree,Disagree,
2,1,5,2,Disagree,Strongly agree,Neutral,Strongly agree,
2,1,5,3,Agree,Strongly agree,Agree,Strongly agree,
2,1,5,4,Agree,Strongly agree,Agree,Strongly agree,
2,1,5,5,Neutral,Agree,Agree,Agree,
2,1,6,1,,Neutral,Disagree,Strongly disagree,Neutral
2,1,6,2,,Agree,Strongly agree,Strongly agree,Disagree
2,1,6,3,,Disagree,Agree,Strongly agree,Neutral
2,1,6,4,,Disagree,Agree,Strongly disagree,Strongly disagree
2,1,6,5,,Disagree,Neutral,Strongly disagree,Strongly disagree
2,1,7,1,Disagree,,Disagree,Strongly disagree,Strongly agree
2,1,7,2,Disagree,,Neutral,Disagree,Agree
2,1,7,3,Agree,,Strongly agree,Strongly agree,Strongly agree
2,1,7,4,Disagree,,Agree,Strongly agree,Strongly agree
2,1,7,5,Disagree,,Strongly agree,Neutral,Agree
2,1,8,1,Agree,Strongly agree,,Strongly disagree,Agree
2,1,8,2,Agree,Strongly agree,,Strongly agree,Strongly agree
2,1,8,3,Agree,Strongly agree,,Strongly agree,Strongly agree
2,1,8,4,Agree,Strongly agree,,Strongly agree,Strongly agree
2,1,8,5,Neutral,Strongly agree,,Strongly agree,Neutral
2,1,9,1,Neutral,Agree,Agree,,Neutral
2,1,9,2,Neutral,Strongly agree,Agree,,Agree
2,1,9,3,Agree,Strongly agree,Agree,,Strongly agree
2,1,9,4,Disagree,Strongly agree,Agree,,Strongly agree
2,1,9,5,Disagree,Strongly agree,Strongly agree,,Agree
2,1,10,1,Neutral,Neutral,Agree,Strongly disagree,
2,1,10,2,Agree,Agree,Strongly agree,Strongly agree,
2,1,10,3,Agree,Strongly agree,Strongly agree,Strongly agree,
2,1,10,4,Strongly agree,Strongly agree,Strongly agree,Strongly agree,
2,1,10,5,Agree,Strongly agree,Strongly agree,Agree,
2,1,11,1,,Neutral,Neutral,Neutral,Neutral
2,1,11,2,,Agree,Agree,Strongly agree,Neutral
2,1,11,3,,Strongly agree,Disagree,Strongly agree,Disagree
2,1,11,4,,Agree,Agree,Strongly disagree,Strongly disagree
2,1,11,5,,Neutral,Neutral,Strongly disagree,Neutral
2,1,12,1,Neutral,,Agree,Agree,Agree
2,1,12,2,Disagree,,Strongly agree,Strongly agree,Agree
2,1,12,3,Agree,,Strongly agree,Strongly agree,Agree
2,1,12,4,Neutral,,Strongly agree,Strongly agree,Neutral
2,1,12,5,Agree,,Strongly agree,Strongly agree,Neutral
2,1,13,1,Disagree,Disagree,,Disagree,Neutral
2,1,13,2,Disagree,Neutral,,Disagree,Disagree
2,1,13,3,Agree,Strongly agree,,Agree,Agree
2,1,13,4,Neutral,Strongly agree,,Agree,Agree
2,1,13,5,Disagree,Strongly agree,,Agree,Agree
2,1,14,1,Disagree,Strongly agree,Agree,,Neutral
2,1,14,2,Neutral,Strongly agree,Strongly agree,,Neutral
2,1,14,3,Agree,Strongly agree,Agree,,Disagree
2,1,14,4,Agree,Agree,Agree,,Disagree
2,1,14,5,Agree,Agree,Agree,,Disagree
2,1,15,1,Neutral,Strongly agree,Neutral,Strongly agree,
2,1,15,2,Neutral,Agree,Neutral,Strongly agree,
2,1,15,3,Strongly agree,Strongly agree,Disagree,Disagree,
2,1,15,4,Agree,Strongly agree,Neutral,Disagree,
2,1,15,5,Agree,Strongly agree,Disagree,Strongly disagree,
2,2,16,1,,Strongly agree,Strongly agree,Strongly agree,Disagree
2,2,16,2,,Agree,Strongly agree,Strongly agree,Neutral
2,2,16,3,,Strongly agree,Strongly agree,Strongly agree,Disagree
2,2,16,4,,Agree,Strongly agree,Strongly agree,Disagree
2,2,16,5,,Agree,Strongly agree,Strongly agree,Strongly disagree
2,2,17,1,Neutral,,Agree,Strongly agree,Disagree
2,2,17,2,Disagree,,Strongly agree,Strongly agree,Neutral
2,2,17,3,Neutral,,Strongly agree,Strongly agree,Disagree
2,2,17,4,Disagree,,Neutral,Strongly agree,Disagree
2,2,17,5,Disagree,,Agree,Strongly agree,Neutral
2,2,18,1,Strongly agree,Strongly agree,,Strongly agree,Agree
2,2,18,2,Agree,Strongly agree,,Strongly agree,Neutral
2,2,18,3,Agree,Strongly agree,,Strongly agree,Neutral
2,2,18,4,Agree,Strongly agree,,Strongly agree,Disagree
2,2,18,5,Neutral,Strongly agree,,Strongly agree,Agree
2,2,19,1,Neutral,Strongly agree,Agree,,Neutral
2,2,19,2,Disagree,Strongly agree,Strongly agree,,Neutral
2,2,19,3,Agree,Agree,Agree,,Neutral
2,2,19,4,Disagree,Strongly agree,Agree,,Agree
2,2,19,5,Neutral,Agree,Strongly agree,,Disagree
2,2,20,1,Agree,Strongly agree,Strongly agree,Strongly agree,
2,2,20,2,Agree,Strongly agree,Strongly agree,Strongly agree,
2,2,20,3,Agree,Strongly agree,Strongly agree,Strongly agree,
2,2,20,4,Agree,Strongly agree,Agree,Strongly agree,
2,2,20,5,Agree,Agree,Strongly agree,Strongly agree,
2,2,21,1,,Strongly agree,Strongly agree,Strongly agree,Neutral
2,2,21,2,,Strongly agree,Agree,Strongly agree,Neutral
2,2,21,3,,Agree,Strongly agree,Strongly agree,Disagree
2,2,21,4,,Strongly agree,Agree,Strongly agree,Disagree
2,2,21,5,,Strongly agree,Agree,Strongly agree,Strongly disagree
2,2,22,1,Strongly agree,,Strongly agree,Strongly agree,Agree
2,2,22,2,Agree,,Strongly agree,Strongly agree,Agree
2,2,22,3,Agree,,Agree,Strongly agree,Agree
2,2,22,4,Disagree,,Agree,Strongly agree,Neutral
2,2,22,5,Disagree,,Agree,Agree,Disagree
2,2,23,1,Strongly agree,Agree,,Agree,Agree
2,2,23,2,Agree,Agree,,Neutral,Strongly agree
2,2,23,3,Agree,Neutral,,Agree,Neutral
2,2,23,4,Strongly disagree,Strongly disagree,,Agree,Disagree
2,2,23,5,Strongly disagree,Strongly disagree,,Strongly disagree,Agree
2,2,24,1,Neutral,Strongly agree,Neutral,,Disagree
2,2,24,2,Neutral,Strongly agree,Strongly agree,,Disagree
2,2,24,3,Agree,Agree,Strongly agree,,Agree
2,2,24,4,Disagree,Neutral,Strongly agree,,Agree
2,2,24,5,Disagree,Neutral,Strongly agree,,Neutral
2,2,25,1,Agree,Strongly agree,Agree,Strongly agree,
2,2,25,2,Agree,Strongly agree,Agree,Strongly agree,
2,2,25,3,Agree,Agree,Agree,Strongly agree,
2,2,25,4,Agree,Strongly agree,Strongly agree,Strongly agree,
2,2,25,5,Neutral,Strongly agree,Strongly agree,Strongly agree,
2,2,26,1,,Strongly agree,Strongly agree,Agree,Agree
2,2,26,2,,Strongly agree,Strongly agree,Strongly agree,Agree
2,2,26,3,,Strongly agree,Strongly agree,Strongly agree,Agree
2,2,26,4,,Strongly agree,Agree,Strongly agree,Neutral
2,2,26,5,,Strongly agree,Strongly agree,Strongly agree,Disagree
2,2,27,1,Neutral,,Strongly agree,Strongly agree,Neutral
2,2,27,2,Neutral,,Strongly agree,Strongly agree,Disagree
2,2,27,3,Agree,,Agree,Strongly agree,Agree
2,2,27,4,Neutral,,Agree,Agree,Neutral
2,2,27,5,Agree,,Agree,Strongly agree,Disagree
2,2,28,1,Strongly agree,Strongly agree,,Strongly agree,Agree
2,2,28,2,Strongly agree,Strongly agree,,Strongly agree,Agree
2,2,28,3,Agree,Strongly agree,,Agree,Agree
2,2,28,4,Disagree,Strongly agree,,Agree,Agree
2,2,28,5,Disagree,Strongly agree,,Agree,Disagree
2,2,29,1,Neutral,Strongly agree,Strongly agree,,Agree
2,2,29,2,Neutral,Strongly agree,Strongly agree,,Agree
2,2,29,3,Agree,Strongly agree,Strongly agree,,Agree
2,2,29,4,Disagree,Agree,Agree,,Disagree
2,2,29,5,Disagree,Agree,Strongly agree,,Disagree
2,2,30,1,Neutral,Strongly agree,Strongly agree,Agree,
2,2,30,2,Neutral,Strongly agree,Strongly agree,Neutral,
2,2,30,3,Disagree,Agree,Strongly agree,Neutral,
2,2,30,4,Disagree,Agree,Strongly agree,Neutral,
2,2,30,5,Strongly disagree,Neutral,Strongly agree,Neutral,
